clave,lat,long
22DJN1466D,21.513611,  -99.172222
22DJN0023C,20.594597, -100.427893
22DJN0023C,20.594597, -100.427893
22DJN1366E,20.752500,  -99.717778
22DJN0337C,20.611436, -100.432353
22DJN0384N,20.640973, -100.468148
22DJN0445K,20.588056, -100.388056
22DJN0070N,20.695368,  -99.821402
22DJN1366E,20.752500,  -99.717778
22DJN0032K,20.859206,  -99.900539
22DJN0109I,20.909215,  -99.930448
22DJN0083R,20.767222,  -99.937222
22DJN0029X,20.476823, -100.161507
22DJN0029X,20.476823, -100.161507
22DJN0137E,20.471634, -100.109207
22DJN0167Z,20.215000, -100.115833
22DJN0111X,20.187464, -100.143350
22DJN0152X,20.387464,  -99.968582
22DJN0037F,20.388215,  -99.989700
22DJN0303M,20.354167,  -99.958611
22DJN0077G,20.613874, -100.324256
22DJN0307I,20.619723, -100.444657
22DJN1405Q,20.615438, -100.468290
22DJN0280S,20.743818, -100.450250
22DJN0113V,20.590297, -100.393092
22DJN0115T,20.593554, -100.395967
22DJN1422G,20.437052,  -99.899987
22DJN0095W,20.571737, -100.391746
22DJN1362I,20.572734, -100.399351
22DJN0425X,20.629558, -100.450477
22DJN0404K,20.649375, -100.402504
22DJN0422Z,20.647415, -100.412452
22DJN0401N,20.654003, -100.398120
22DJN0367X,20.654003, -100.398120
22DJN0345L,20.621902, -100.406474
22DJN0345L,20.621902, -100.406474
22DJN1445R,20.628641, -100.403942
22DJN0038E,20.616789, -100.371573
22DJN0045O,20.627995, -100.393689
22DJN1423F,20.568333, -100.170278
22DJN0181S,20.554574, -100.414030
22DJN1469A,20.519709, -100.443118
22DJN0339A,20.376291,  -99.968048
22DJN0339A,20.376291,  -99.968048
22DJN1441V,20.559428,  -99.891252
22DJN1371Q,20.511755,  -99.882856
